MATEST,MATESTCD,SPECIES,STRAIN,SEX,MASPEC,MASTRESC,MAFREQ,N
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,"MUSCLE, SKELETAL",OEDEMATOUS AREA,0.002777778,360
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,"MUSCLE, SKELETAL",SWOLLEN/THICKENED,0.002777778,360
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,"MUSCLE, SKELETAL",DARK,0.002777778,360
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,"MUSCLE, SKELETAL",ABUNREMARKABLE CONSISTENCY/TEXTURE,0.002777778,360
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,"MUSCLE, SKELETAL",DISCOLORATION,0.002777778,360
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,"MUSCLE, SOLEUS",UNREMARKABLE,1,25
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,"MUSCLE, TIBIALIS CRANIALIS",UNREMARKABLE,1,6
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,NASAL TURBINATE,UNREMARKABLE,1,49
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,NASOPHARYNX,UNREMARKABLE,1,61
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,NERVE,UNREMARKABLE,1,3
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,"NERVE, BRACHIAL PLEXUS",UNREMARKABLE,1,10
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,"NERVE, MEDIAN",UNREMARKABLE,1,3
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,"NERVE, OPTIC",UNREMARKABLE,1,1132
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,"NERVE, PERIPHERAL",UNREMARKABLE,1,11
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,"NERVE, PERONEAL",UNREMARKABLE,1,5
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,"NERVE, PLANTAR",UNREMARKABLE,1,5
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,"NERVE, SCIATIC",UNREMARKABLE,1,1155
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,"NERVE, SURAL",UNREMARKABLE,1,40
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,"NERVE, TIBIAL",UNREMARKABLE,1,45
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,OMENTUM,UNREMARKABLE,1,35
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,OVARY,UNREMARKABLE,0.941176471,1122
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,OVARY,CYST,0.035650624,1122
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,OVARY,ENLARGED,0.004456328,1122
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,OVARY,ENLARGEMENT,0.003565062,1122
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,OVARY,LARGE,0.003565062,1122
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,OVARY,CYST(S),0.002673797,1122
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,OVARY,"CYST, CLEAR",0.001782531,1122
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,OVARY,RAISED AREA,0.001782531,1122
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,OVARY,SMALL,0.001782531,1122
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,OVARY,ABUNREMARKABLE SIZE,0.000891266,1122
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,OVARY,DECREASED SIZE,0.000891266,1122
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,OVARY,SWELLING,0.000891266,1122
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,OVARY,,0.000891266,1122
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,OVARY/OVIDUCT,UNREMARKABLE,1,21
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,OVIDUCT,UNREMARKABLE,0.993638677,786
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,OVIDUCT,"CYST, CLEAR",0.002544529,786
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,OVIDUCT,CYST,0.001272265,786
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,OVIDUCT,ENLARGEMENT,0.001272265,786
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,OVIDUCT,CYST(S),0.001272265,786
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,PANCREAS,UNREMARKABLE,0.99911426,1129
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,PANCREAS,NODULE,0.00088574,1129
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,PERICARDIUM,UNREMARKABLE,1,5
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,PEYER'S PATCH,UNREMARKABLE,1,194
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,PHARYNX,UNREMARKABLE,1,12
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,"SITE, APPLICATION",UNREMARKABLE,1,35
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,"SITE, CATHETER",SCAB,1,1
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,"SITE, IMPLANTATION",UNREMARKABLE,1,5
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,"SITE, INFUSION",UNREMARKABLE,0.84962406,133
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,"SITE, INFUSION",,0.045112782,133
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,"SITE, INFUSION",FOCUS,0.030075188,133
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,"SITE, INFUSION",THICK,0.015037594,133
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,"SITE, INFUSION","FOCUS, DARK",0.015037594,133
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,"SITE, INFUSION","DISCOLORATION, DARK",0.015037594,133
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,"SITE, INFUSION",ABUNREMARKABLE CONSISTENCY,0.007518797,133
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,"SITE, INFUSION",HEMORRHAGE,0.007518797,133
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,"SITE, INFUSION",GELATINOUS MATERIAL,0.007518797,133
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,"SITE, INFUSION",DARK AREA,0.007518797,133
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,"SITE, INJECTION",UNREMARKABLE,0.91512605,1190
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,"SITE, INJECTION",DISCOLORATION,0.013445378,1190
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,"SITE, INJECTION",,0.012605042,1190
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,"SITE, INJECTION",ABUNREMARKABLE AREA,0.011764706,1190
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,"SITE, INJECTION","DISCOLORATION, RED",0.01092437,1190
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,"SITE, INJECTION",DARK AREA(S),0.007563025,1190
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,"SITE, INJECTION",DARK FOCUS,0.005042017,1190
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,"SITE, INJECTION",DARK AREA,0.002521008,1190
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,"SITE, INJECTION",FOCUS,0.002521008,1190
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,"SITE, INJECTION","FOCUS, DARK",0.002521008,1190
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,"SITE, INJECTION",SORE,0.001680672,1190
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,"SITE, INJECTION",RED AREA,0.001680672,1190
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,"SITE, INJECTION",OEDEMATOUS AREA,0.001680672,1190
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,"SITE, INJECTION",SCAB(S),0.001680672,1190
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,"SITE, INJECTION","DISCOLORATION, DARK",0.001680672,1190
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,"SITE, INJECTION",DISCOLORED,0.001680672,1190
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,"SITE, INJECTION",DARK REDDISH PATCH,0.000840336,1190
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,"SITE, INJECTION",RED FOCUS,0.000840336,1190
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,"SITE, INJECTION",DARK,0.000840336,1190
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,"SITE, INJECTION","RED FOCUS, SUBCUTIS, FOREARM, RIGHT",0.000840336,1190
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,"SITE, INJECTION",THICKENED,0.000840336,1190
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,"SITE, INJECTION",SCAB,0.000840336,1190
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,"SITE, INJECTION",HAEMORRHAGE,0.000840336,1190
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,"SITE, MICROCHIP",UNREMARKABLE,1,5
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,"SITE, SURGICAL",SCAB,1,1
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,"SITE, TATTOO",UNREMARKABLE,1,57
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,SKIN,UNREMARKABLE,0.851485149,606
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,SKIN,"DISCOLORATION, RED",0.094059406,606
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,SKIN,HAIR LOSS,0.008250825,606
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,SKIN,SCAB,0.008250825,606
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,SKIN,HAIR SPARSE,0.00660066,606
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,SKIN,CRUST,0.004950495,606
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,SKIN,"AREA, INGUINAL, SUBCUTIS, RED, MULTIFOCAL, 5-10 CM",0.004950495,606
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,SKIN,MATERIAL ACCUMULATION,0.00330033,606
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,SKIN,ABRASION/SCAB,0.00330033,606
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,SKIN,DEFORMITY/MALFORMATION,0.001650165,606
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,SKIN,"DISCOLORATION, DARK",0.001650165,606
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,SKIN,ULCER,0.001650165,606
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,SKIN,DISCOLORATION,0.001650165,606
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,SKIN,ALOPECIA,0.001650165,606
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,SKIN,THIN HAIR COAT,0.001650165,606
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,SKIN,FOCUS,0.001650165,606
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,SKIN,WOUND,0.001650165,606
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,SKIN,"CRUST, LEG, CUTANEOUS, UNILATERAL, MULTIFOCAL, 1-3 CM",0.001650165,606
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,SKIN/SUBCUTIS,UNREMARKABLE,0.855633803,568
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,SKIN/SUBCUTIS,THICK,0.029929577,568
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,SKIN/SUBCUTIS,RED,0.024647887,568
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,SKIN/SUBCUTIS,HAIR LOSS,0.022887324,568
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,SKIN/SUBCUTIS,SCAB,0.014084507,568
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,SKIN/SUBCUTIS,ALOPECIA,0.01056338,568
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,SKIN/SUBCUTIS,DISCOLORED,0.008802817,568
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,SKIN/SUBCUTIS,SORE,0.007042254,568
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,SKIN/SUBCUTIS,SORE/CRUST,0.007042254,568
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,SKIN/SUBCUTIS,ABUNREMARKABLE COLOR,0.00528169,568
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,SKIN/SUBCUTIS,LESION,0.003521127,568
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,SKIN/SUBCUTIS,BROKEN SKIN,0.003521127,568
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,SKIN/SUBCUTIS,SCAB/CRUST,0.001760563,568
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,SKIN/SUBCUTIS,DARK FOCUS,0.001760563,568
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,SKIN/SUBCUTIS,FUR LOSS,0.001760563,568
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,SKIN/SUBCUTIS,MASS 1,0.001760563,568
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,SMALL INTESTINE,UNREMARKABLE,1,9
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,"SMALL INTESTINE, DUODENUM",UNREMARKABLE,0.995543672,1122
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,"SMALL INTESTINE, DUODENUM",DISCOLORED,0.002673797,1122
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,"SMALL INTESTINE, DUODENUM",PARASITE,0.000891266,1122
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,"SMALL INTESTINE, DUODENUM",RAISED AREA,0.000891266,1122
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,"SMALL INTESTINE, ILEUM",UNREMARKABLE,0.999108734,1122
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,"SMALL INTESTINE, ILEUM",DISCOLORED,0.000891266,1122
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,"SMALL INTESTINE, JEJUNUM",UNREMARKABLE,0.993772242,1124
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,"SMALL INTESTINE, JEJUNUM",INTUSSUSCEPTION,0.001779359,1124
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,"SMALL INTESTINE, JEJUNUM",DISTENSION,0.00088968,1124
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,"SMALL INTESTINE, JEJUNUM",PALE,0.00088968,1124
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,"SMALL INTESTINE, JEJUNUM",THICK,0.00088968,1124
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,"SMALL INTESTINE, JEJUNUM",FOCUS,0.00088968,1124
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,"SMALL INTESTINE, JEJUNUM","FOCUS, DARK RED, MUCOSA, MULTIPLE",0.00088968,1124
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,SPINAL CORD,UNREMARKABLE,1,468
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,"SPINAL CORD, CERVICAL",UNREMARKABLE,1,599
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,"SPINAL CORD, LUMBAR",UNREMARKABLE,1,583
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,"SPINAL CORD, SACRAL",UNREMARKABLE,1,10
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,"SPINAL CORD, THORACIC",UNREMARKABLE,1,588
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,SPLEEN,UNREMARKABLE,0.980599647,1134
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,SPLEEN,ENLARGED,0.002645503,1134
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,SPLEEN,FOCUS,0.002645503,1134
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,SPLEEN,FOCI,0.001763668,1134
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,SPLEEN,ENLARGEMENT,0.001763668,1134
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,SPLEEN,PALE FOCUS,0.001763668,1134
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,SPLEEN,SPLENOMEGALY,0.000881834,1134
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,SPLEEN,NODULE,0.000881834,1134
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,SPLEEN,ABUNREMARKABLE APPEARANCE,0.000881834,1134
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,SPLEEN,RAISED AREA,0.000881834,1134
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,SPLEEN,DEPRESSED AREA,0.000881834,1134
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,SPLEEN,SMALL,0.000881834,1134
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,SPLEEN,ABUNREMARKABLE AREA,0.000881834,1134
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,SPLEEN,DISCOLORATION(S),0.000881834,1134
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,SPLEEN,DISCOLORATION,0.000881834,1134
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,SPLEEN,ADHESION,0.000881834,1134
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,STOMACH,UNREMARKABLE,0.97659766,1111
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,STOMACH,DISCOLORED,0.00630063,1111
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,STOMACH,DISCOLORATION,0.00270027,1111
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,STOMACH,RED FOCUS,0.00180018,1111
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,STOMACH,ABUNREMARKABLE SURFACE,0.00180018,1111
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,STOMACH,PALE,0.00090009,1111
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,STOMACH,"FOCUS, DARK",0.00090009,1111
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,STOMACH,IRREGULAR SURFACE,0.00090009,1111
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,STOMACH,"AREA, MUCOSA, RED, MULTIFOCAL, 3-5 MM",0.00090009,1111
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,STOMACH,FOCUS,0.00090009,1111
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,STOMACH,"AREA, MUCOSA, RED, FOCAL, 3-5 MM",0.00090009,1111
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,STOMACH,"FOCUS/FOCI, RED",0.00090009,1111
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,STOMACH,DARK AREA(S),0.00090009,1111
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,STOMACH,NODULE,0.00090009,1111
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,STOMACH,"RED FOCUS, BODY, MUCOSA",0.00090009,1111
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,STOMACH,ABUNREMARKABLE COLOR,0.00090009,1111
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,STOMACH,"DISCOLORATION, RED",0.00090009,1111
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,"STOMACH, CARDIA",UNREMARKABLE,1,117
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,"STOMACH, FUNDUS",UNREMARKABLE,1,14
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,"STOMACH, PYLORUS",UNREMARKABLE,1,117
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,SUBCUTIS,UNREMARKABLE,1,3
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,TAIL,UNREMARKABLE,0.967741935,31
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,TAIL,SCAB,0.032258065,31
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,"TENDON, CALCANEAL",UNREMARKABLE,1,10
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,THYMUS,UNREMARKABLE,0.96231376,1141
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,THYMUS,SMALL,0.019281332,1141
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,THYMUS,"FOCUS, DARK",0.004382121,1141
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,THYMUS,DECREASED IN SIZE,0.003505697,1141
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,THYMUS,ENLARGED,0.002629273,1141
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,THYMUS,FOCUS,0.002629273,1141
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,THYMUS,ABUNREMARKABLE AREA,0.001752848,1141
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,THYMUS,CYST,0.000876424,1141
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,THYMUS,RED FOCUS,0.000876424,1141
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,THYMUS,DISCOLORATION,0.000876424,1141
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,THYMUS,DECREASED,0.000876424,1141
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,"TISSUE, UNSPECIFIED",UNREMARKABLE,1,5
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,TONGUE,UNREMARKABLE,1,1057
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,TONSIL,UNREMARKABLE,1,52
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,TOOTH,UNREMARKABLE,1,30
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,TRACHEA,UNREMARKABLE,1,1127
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,URETER,UNREMARKABLE,1,410
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,URINARY BLADDER,UNREMARKABLE,0.997338066,1127
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,URINARY BLADDER,ABUNREMARKABLE SURFACE,0.001774623,1127
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,URINARY BLADDER,THICK,0.000887311,1127
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,URINE,UNREMARKABLE,1,13
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,UTERUS,UNREMARKABLE,0.98907767,824
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,UTERUS,DISCOLORATION,0.003640777,824
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,UTERUS,THICK,0.002427184,824
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,UTERUS,RED,0.002427184,824
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,UTERUS,SWELLING,0.001213592,824
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,UTERUS,FOCUS,0.001213592,824
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,UTERUS/CERVIX,UNREMARKABLE,0.993442623,305
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,UTERUS/CERVIX,DISCOLORATION,0.003278689,305
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,UTERUS/CERVIX,ENLARGEMENT,0.003278689,305
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,VAGINA,UNREMARKABLE,0.992901508,1127
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,VAGINA,THICK,0.002661934,1127
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,VAGINA,SWELLING,0.001774623,1127
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,VAGINA,THICKENED WALL,0.000887311,1127
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,VAGINA,DARK MATERIAL,0.000887311,1127
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,VAGINA,ABUNREMARKABLE CONTENTS,0.000887311,1127
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,"VEIN, CAUDAL",UNREMARKABLE,1,8
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,"VEIN, CEPHALIC",UNREMARKABLE,0.96,25
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,"VEIN, CEPHALIC",DARK AREA(S),0.04,25
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,"VEIN, SAPHENA",UNREMARKABLE,0.904761905,42
Gross Pathological Examination,GROSPATH,MONKEY,CYNOMOLGUS,F,"VEIN, SAPHENA",RED,0.047619048,42
